"Fecha","WTI","JPM_Dollar_Index","VIX_Index","OPEP_TOTPROD","OPEP_TOTDEM","TBILL_10YR","TBILL_1YR"
"dic-02",-1.08224601370185,-0.543533351828251,1.42822936800645,-2.01164991186353,-1.18907396121312,0.424340521747435,-0.220697725597043
"ene-03",-0.967635186596979,-0.513614966158816,1.23692350838736,-1.22368690966544,-0.899138236848787,0.440531231836153,-0.269519322094095
"feb-03",-1.17386049362064,-0.467014339265325,1.17729570798661,-1.12340070938568,-1.35475151799273,0.319100906170764,-0.302067053092129
"mar-03",-1.36821671822567,-0.169631851341649,0.190952509690788,-1.5149944438114,-1.49281614864242,0.246242710771532,-0.334614784090164
"abr-03",-1.22875499980679,-0.161721492826955,-0.0251982667619486,-1.45052474363156,-1.53423553783732,0.36767303643692,-0.318340918591146
"may-03",-1.20538774379512,-0.131333184869518,-0.0189870375535366,-1.68691364429099,-1.3271385918628,0.0519541897069098,-0.367162515088198
"jun-03",-1.19240593489974,-0.161564852064289,-0.0227137750785839,-1.53887211054468,-1.23049335040802,-0.142334331357712,-0.459381086249296
"jul-03",-1.15420232586478,-0.174566035365666,-0.12954691746327,-1.34307524333182,-1.21668688734305,0.383863746525638,-0.399710246086233
"ago-03",-1.24210771752775,-0.0401682609972089,0.378531631784829,-1.20458477627882,-0.88533177378382,0.764345433610522,-0.296642431259123
"sep-03",-1.24544589695799,-0.00625553587976099,-0.443835115408915,-0.970583642292717,-0.761073606199106,0.618629042812056,-0.334614784090164
"oct-03",-1.19722774963231,0.00956518114962591,-0.416505706891902,-0.808215508506443,-1.0233964044335,0.634819752900775,-0.329190162257158
"nov-03",-1.11896598743448,0.140281897595404,-0.169298784397106,-0.798664441813133,-0.471137881834777,0.642915107945134,-0.280368565760106
"dic-03",-1.09930781967863,0.14302311094208,-0.377996085799748,-0.855970841972995,-0.678234827809299,0.618629042812056,-0.296642431259123
"ene-04",-0.983955174922592,0.201841717323612,-0.636383220869685,-0.879848508706269,-0.512557271029681,0.521484782279746,-0.334614784090164
"feb-04",-0.998791527945877,0.253846450529122,-0.364331381541242,-0.679276108146755,-0.623008975549425,0.464817296969231,-0.334614784090164
"mar-04",-0.938704298201573,0.0676789040991569,-0.308430318665534,-0.798664441813133,-0.761073606199106,0.26243342086025,-0.361737893255192
"abr-04",-0.845977091806044,0.0122280741149688,-0.518369865909858,-0.626745241333549,-1.05100933056344,0.68339188316693,-0.231546969263054
"may-04",-0.950944289445784,-0.00147799261841089,-0.662470383545016,-0.278131307027725,-0.678234827809299,0.982920019808221,-0.0416852051078531
"jun-04",-0.700580832177853,0.0244460536030096,-0.540730291060141,-0.149191906668037,-0.692041290874266,0.991015374852581,0.142751937214342
"jul-04",-0.762893514875649,0.0213132383496662,-0.544457028585189,0.0227272938115493,-0.747267143134139,0.804822208832318,0.131902693548331
"ago-04",-0.483970078037895,0.11756898700866,-0.786694967713255,0.280606094530926,-0.747267143134139,0.626724397856415,0.0885057188842849
"sep-04",-0.405337407014486,0.178737204830201,-0.422716936100314,0.318810361304166,-0.719654217004202,0.505294072191027,0.142751937214342
"oct-04",-0.502886428142583,0.404064941926966,-0.799117426130079,0.0609315605847895,-0.498750807964714,0.481008007057949,0.202422777377406
"nov-04",-0.713562641073227,0.571435596836867,-0.792906196921667,-0.0298035730016585,-0.319266788120129,0.553866202457183,0.348887566868561
"dic-04",-0.53738094892172,0.477764420761883,-0.851291751480739,-0.243269913597142,-0.664428364744331,0.586247622634619,0.441106138029659
"ene-05",-0.405708315840068,0.597516283820955,-0.943217943765236,-0.0909303998388441,-0.319266788120129,0.57815226759026,0.544173952856768
"feb-05",-0.270326594502595,0.420825503532356,-0.702222250478852,-0.0393546396949685,-0.346879714250064,0.537675492368464,0.636392524017866
"mar-05",-0.481002807433238,0.46922749919652,-0.541972536901824,0.0275028271582035,-0.650621901679362,0.804822208832318,0.782857313509021
"abr-05",-0.397548321677262,0.418945814380349,-0.792906196921667,0.0370538938515135,-0.830105921523947,0.675296528122571,0.793706557175032
"may-05",-0.229526623688562,0.46139546106316,-0.948186927131966,0.0637968805927827,-0.374492640380001,0.513389427235386,0.799131179008038
"jun-05",-0.0785667316766391,0.525618173756711,-1.00657248169104,0.204197560984444,-0.650621901679362,0.400054456614357,0.815405044507055
"jul-05",0.231883955335595,0.543005298412771,-0.878621159997752,0.25672842779765,-0.374492640380001,0.545770847412823,0.967294455831217
"ago-05",0.131738572428422,0.605035040428981,-0.963093877232155,0.280606094530926,-0.609202512484458,0.610533687767697,1.09206075799035
"sep-05",-0.108610346548791,0.509014252913989,-0.540730291060141,0.165993294211202,-0.816299458458979,0.561961557501542,1.08121151432434
"oct-05",-0.199112099990828,0.56344691794084,-0.945702435448601,0.0155639937915664,-0.38829910344497,0.772440788654881,1.26022403481353
"nov-05",-0.0611340168742796,0.571200635692866,-0.944460189606919,0.0155639937915664,-0.125976305210576,0.837203629009755,1.34159336230861
"dic-05",0.194051255126219,0.719931039845371,-0.835142555538868,-0.182620640094623,-0.526363734094651,0.78053614369924,1.35244260597462
"ene-06",-0.0474103903277412,0.719617758320036,-0.910919551881494,-0.00353813959505543,-0.222621546665353,0.740059368477444,1.40668882430468
"feb-06",0.146204016626125,0.655708327151819,-1.02893290684132,-0.0393546396949685,-0.291653861990193,0.861489694142833,1.53145512646381
"mar-06",0.340931150056738,0.760814278901509,-1.00408799000767,-0.108599873221468,-0.705847753939235,0.982920019808221,1.58027672296087
"abr-06",0.319047529347393,0.490374002156592,-0.401598756791713,-0.103824339874812,-0.595396049419491,1.20149460600592,1.65079680678994
"may-06",0.416967459301072,0.408764164806982,-0.818993359596997,-0.0107014396150367,-0.291653861990193,1.29863886653823,1.70504302512
"jun-06",0.434400174103432,0.524913290324708,-0.58669338720239,0.0179517604648934,-0.498750807964714,1.29863886653823,1.79183697444809
"jul-06",0.280843920312435,0.53713126981275,-0.914646289406541,-0.0250280396550026,-0.291653861990193,1.28244815644951,1.82438470544612
"ago-06",0.00822593350957664,0.446514588609776,-0.95564040218206,-0.127702006608088,-0.443524955704841,1.11244570051797,1.74843999978404
"sep-06",-0.146813955583749,0.619524310975697,-1.06495803625011,-0.239927040254483,-0.498750807964714,0.982920019808221,1.68876915962098
"oct-06",0.0163859276723835,0.66745638435186,-1.08856070724208,-0.483479240933895,-0.250234472795289,0.991015374852581,1.710467646953
"nov-06",-0.0607631080486975,0.7482046975068,-1.00781472753272,-0.562275541153704,-0.181202157470449,0.88577575927591,1.710467646953
"dic-06",-0.168697576293094,0.668866151215864,-1.14943075348451,0.0466049605448236,-0.526363734094651,0.853394339098473,1.67249529412196
"ene-07",-0.0333158549556206,0.70489352662932,-0.528307832643317,0.0943602940113755,-0.250234472795289,1.01530143998566,1.73759075611803
"feb-07",0.118014945881884,0.801462556813648,-0.625203008294544,0.0370538938515135,-0.222621546665353,0.982920019808221,1.73216613428503
"mar-07",0.11208040467257,0.968128328291547,-0.677377333645204,0.216136394351081,-0.374492640380001,0.853394339098473,1.66164605045595
"abr-07",0.0490259043236101,0.984340647227601,-0.822720097122044,0.0680948606047724,-0.30546032505516,0.958633954675144,1.66707067228896
"may-07",0.296422090986884,1.03822506958512,-0.427685919467044,0.0776459272980825,-0.23642800973032,1.0072060849413,1.65622142862295
"jun-07",0.575716436650219,1.10283938418534,0.47791129911942,0.251952894450994,-0.264040935860256,1.29054351149387,1.68334453778798
"jul-07",0.421047456382476,1.00721019857701,0.460519857335867,0.225687461044391,-0.167395694405479,1.20958996105028,1.68334453778798
"ago-07",0.70367998147605,1.27310789320458,-0.20780840548926,0.378504528137355,-0.319266788120129,0.942443244586425,1.41753806797069
"sep-07",1.18103964000024,1.49303152398933,-0.141969375880093,0.662648762263336,-0.167395694405479,0.821012918921036,1.2385255474815
"oct-07",0.965170703511444,1.42794728710111,0.397165319410065,0.87277222951616,-0.0293310637557987,0.829108273965396,1.21682706014948
"nov-07",1.23482141970964,1.45465453713587,0.351202223267816,1.01603822991581,-0.0845569160156718,0.521484782279746,0.891349750169136
"dic-07",1.07792698648841,1.49491121314133,0.810833184690302,1.11154889684892,-0.195008620535416,0.481008007057949,0.761158826176998
"ene-08",1.45217399150077,1.55412142142954,0.853069543307503,1.22377393049531,0.0811206407639455,0.189575225461017,0.462804625361682
"feb-08",1.44253036203563,1.53273995732546,0.73754068003104,1.21899839714866,-0.181202157470449,0.189575225461017,0.104779584383302
"mar-08",1.88317004682719,1.60792752340572,0.138778184340127,1.0064871632225,-0.0845569160156718,0.00338205944075439,-0.171876129099991
"abr-08",2.39836240556075,1.63823751098182,-0.228926584797861,1.11154889684892,-0.23642800973032,0.141003095194862,-0.0633836924398761
"may-08",2.86756206992213,1.60009548527236,0.531327870311763,1.29779469736847,-0.277847398925224,0.302910196082046,0.110204206216308
"jun-08",2.2770752195954,1.77506321717162,0.405861040301842,1.38614206428159,-0.125976305210576,0.481008007057949,0.305490592204515
"jul-08",1.95735181194361,1.49201335903199,0.121386742556574,1.30973353073511,-0.402105566509937,0.408149811658716,0.229545886542434
"ago-08",1.40766493243091,0.994130694894301,2.44935544986938,1.13542656358219,-0.443524955704841,0.311005551126405,0.175299668212377
"sep-08",0.189971258044815,-0.139713465672214,4.99595942531828,1.05185473001573,-0.222621546665353,0.149098450239221,0.0288348787212216
"oct-08",-0.30630475058406,-0.00367096329575212,4.4232840923027,0.591015762063508,-0.484944344899745,0.246242710771532,-0.23697159109606
"nov-08",-0.670908126131283,0.117882268533994,2.525132446212,-0.122926473261434,-0.264040935860256,0.0195727695294729,-0.426833355251261
"dic-08",-0.779213503201262,-0.246855747336578,3.12637943358628,-0.63390854135353,-0.402105566509937,-0.879011640394402,-0.741461421565595
"ene-09",-0.66497358492197,-0.350786893366264,3.31395855568032,-1.01833897575927,-0.415912029574904,-0.798058089950809,-0.768584530730624
"feb-09",-0.483228260386731,-0.157413871853607,3.03942222466851,-1.05415547585918,-0.38829910344497,-0.514720663398236,-0.67094133773652
"mar-09",-0.429075571851742,0.065094331515148,2.09034640162317,-1.01595120908594,-0.415912029574904,-0.555197438620032,-0.660092094070509
"abr-09",0.134334934207497,0.442285288017762,1.14872405362791,-0.81060327517977,-0.595396049419491,-0.466148533132081,-0.70891369056756
"may-09",0.267120293765896,0.532275406170067,0.829466872315538,-0.729419208286634,-0.374492640380001,-0.174715751535148,-0.736036799732589
"jun-09",0.250800305440283,0.575429936284881,0.776050301123195,-0.662561741433462,-0.38829910344497,0.173384515372299,-0.730612177899583
"jul-09",0.269716655544971,0.505568156135309,0.787230513698336,-0.681663874820082,-0.443524955704841,0.0438588346625508,-0.746886043398601
"ago-09",0.293825729207809,0.658057938591827,0.73754068003104,-0.569438841173687,-0.30546032505516,0.0681448997956283,-0.757735287064612
"sep-09",0.530836468754783,0.759796113944173,1.3686015676057,-0.516907974360481,-0.250234472795289,-0.085666846047197,-0.790283018062647
"oct-09",0.541221915871082,0.903592334072661,0.600893637445977,-0.464377107547275,-0.333073251185097,-0.0937622010915561,-0.806556883561664
