Fecha,WTI,JPM_Dollar_Index,BBDXY_Index,DXY_Index,VIX_Index,OPEP_TOTPROD,OPEP_TOTDEM,TBILL_10YR,TBILL_1YR
dic-08,41.68,86.612,1094.85,85.999,44.84,28545,84.5,2.42,0.49
ene-09,44.76,85.285,1129.41,88.008,46.35,27740,84.4,2.52,0.44
feb-09,49.66,87.754,1097.04,85.43,44.14,27665,84.6,2.87,0.62
mar-09,51.12,90.595,1080.42,84.614,36.5,27745,84.4,2.82,0.64
abr-09,66.31,95.411,1015.19,79.348,28.92,28175,83.1,2.93,0.55
may-09,69.89,96.56,1026.86,80.133,26.35,28345,84.7,3.29,0.50
jun-09,69.45,97.111,1003.43,78.347,25.92,28485,84.6,3.72,0.51
jul-09,69.96,96.219,1004.52,78.172,26.01,28445,84.2,3.56,0.48
ago-09,70.61,98.166,986.62,76.653,25.61,28680,85.2,3.59,0.46
sep-09,77,99.465,980.57,76.3,30.69,28790,85.6,3.40,0.40
oct-09,77.28,101.301,960.45,74.879,24.51,28900,85,3.39,0.37
nov-09,79.36,99.844,993.31,77.86,21.68,29000,86.9,3.40,0.31
dic-09,72.89,98.537,1004.92,79.462,24.62,29045,85.4,3.59,0.37
ene-10,79.66,98.419,1010.76,80.362,19.5,29235,88.6,3.73,0.35
feb-10,83.76,100.181,1012.51,81.073,17.59,29165,87.6,3.69,0.35
mar-10,86.15,101.334,1016.43,81.866,22.05,29185,87.2,3.73,0.40
abr-10,73.97,97.02,1068.16,86.588,32.07,29387,86,3.85,0.45
may-10,75.63,96.322,1058.96,86.019,34.54,29160,90.2,3.42,0.37
jun-10,78.95,99.145,1014.14,81.539,23.5,29225,89,3.20,0.32
jul-10,71.92,98.355,1029.9,83.202,26.05,29200,89.9,3.01,0.29
ago-10,79.97,102.709,984.7,78.72,23.7,28945,90.6,2.70,0.26
sep-10,81.43,103.015,966.02,77.266,21.2,29130,89.2,2.65,0.26
oct-10,84.11,100.892,1003.63,81.195,23.54,29050,90.1,2.54,0.23
nov-10,91.38,103.341,975.49,79.028,17.75,29185,91.8,2.76,0.25
dic-10,92.19,102.6,967.4,77.735,19.53,29395,88,3.29,0.29
ene-11,96.97,104.028,957.24,76.889,18.35,29385,90.5,3.39,0.27
feb-11,106.72,105.633,948.68,75.857,17.74,28522,88.6,3.58,0.29
mar-11,113.93,108.634,914.4,72.933,14.75,28730,87.2,3.41,0.26
abr-11,102.7,106.844,929.87,74.638,15.45,28895,87.1,3.46,0.25
may-11,95.42,106.905,927.23,74.303,16.52,29320,90,3.17,0.19
jun-11,95.7,107.233,915.52,73.897,25.25,29940,89.5,3.00,0.18
jul-11,88.81,104.815,925.04,74.117,31.62,29978,91.2,3.00,0.19
ago-11,79.2,96.341,986.17,78.553,42.96,30015,90.4,2.30,0.11
sep-11,93.19,99.765,956.78,76.166,29.96,29965,89.7,1.98,0.10
oct-11,100.36,95.088,977,78.384,27.8,30490,90.9,2.15,0.11
nov-11,98.83,93.345,993.39,80.178,23.4,30712,91.6,2.01,0.11
dic-11,98.48,98.653,974.67,79.288,19.44,30790,88.9,1.98,0.12
