"Fecha","WTI","JPM_Dollar_Index","VIX_Index","OPEP_TOTPROD","OPEP_TOTDEM","TBILL_10YR","TBILL_1YR"
"mar-15",59.63,75.847,14.55,31.392,94.4,2.04,0.25
"abr-15",60.3,74.495,13.84,31.27,92.8,1.94,0.23
"may-15",59.47,73.863,18.23,32.349,97,2.2,0.24
"jun-15",47.12,71.449,12.12,32.088,96.4,2.36,0.28
"jul-15",49.2,68.291,28.43,32.161,96.8,2.32,0.3
"ago-15",45.09,67.375,24.5,32.017,96.5,2.17,0.38
"sep-15",46.59,68.371,15.07,32.034,96.6,2.17,0.37
"oct-15",41.65,67.068,16.13,32.001,95.2,2.07,0.26
"nov-15",37.04,65.638,18.21,32.945,97.7,2.26,0.48
"dic-15",33.62,64.465,20.2,32.839,95.1,2.24,0.65
"ene-16",33.75,64.839,20.55,32.596,97.7,2.09,0.54
"feb-16",38.34,68.553,13.95,32.343,96.2,1.78,0.53
"mar-16",45.92,69.545,15.7,32.71,96.1,1.89,0.66
"abr-16",49.1,66.735,14.19,32.52,94.9,1.81,0.56
"may-16",48.33,68.557,15.63,33.11,97.6,1.81,0.59
"jun-16",41.6,68.425,11.87,33.57,96.1,1.64,0.55
"jul-16",44.7,67.987,13.42,33.58,98.9,1.5,0.51
"ago-16",48.24,68.503,13.29,33.85,96.7,1.56,0.57
"sep-16",46.86,68.502,17.06,33.96,97.1,1.63,0.59
"oct-16",49.44,65.502,13.33,34.14,97.1,1.76,0.66
"nov-16",53.72,66.012,14.04,33.14,98.2,2.14,0.74
"dic-16",52.81,66.748,11.99,32.23,96.3,2.49,0.87
"ene-17",54.01,67.758,12.92,32.295,97.6,2.43,0.83
"feb-17",50.6,68.16,12.37,31.935,97.7,2.42,0.82
"mar-17",49.33,68.213,10.82,31.895,96.6,2.48,1.01
"abr-17",48.32,68.608,10.41,32.29,97.9,2.3,1.04
"may-17",46.04,68.729,11.18,32.66,100.5,2.3,1.12
"jun-17",50.17,69.793,10.26,32.85,98,2.19,1.2
"jul-17",47.23,70.566,10.59,32.71,99.6,2.32,1.22
"ago-17",51.67,69.557,9.51,32.77,99.1,2.21,1.23
"sep-17",54.38,68.236,10.18,32.55,99.5,2.2,1.28
"oct-17",57.4,68.67,11.28,32.47,100,2.36,1.4
"nov-17",60.42,69.711,11.04,32.38,98.8,2.35,1.56
"dic-17",64.73,71.676,13.54,32.36,98.7,2.4,1.7
"ene-18",61.64,70.977,19.85,32.21,99.6,2.58,1.8
"feb-18",64.94,70.709,19.97,31.97,98.8,2.86,1.96
"mar-18",68.57,68.691,15.93,31.9,98.1,2.84,2.06
"abr-18",67.04,66.225,15.43,31.8,98.2,2.87,2.15
"may-18",74.15,64.595,16.09,32.3,100.6,2.98,2.27
"jun-18",68.76,65.203,12.83,32.32,100.5,2.91,2.33
"jul-18",69.8,60.911,12.86,32.8,101.3,2.89,2.39
"ago-18",73.25,62.178,12.12,32.9,99.4,2.89,2.45
"sep-18",65.31,61.434,21.23,33.33,100.8,3,2.56
